"","job_titles","Position","Agency","Job.Category","Closes","job_descriptions","links"
"1256","#SGUnitedJobs Senior Manager","#SGUnitedJobs Senior Manager","Government Technology Agency","InfoComm, Technology, New Media Communications",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. You will be part of the team that manages Whole of Government (WOG) ICT/Smart System performance management function, covering over 100 agencies across government.  What to Expect:•    Develop ICT/Smart System Governance, Risk and Compliance framework, including awareness and training plans•    Plan, develop and conduct annual performance and risk assessment of agencies’ ICT/Smart System functions, based on various indicators including audit findings and incident history•    Lead in the collection, processing and review of audit findings and incident data to draw common themes and overall assessment with strategic guidance and vision on ICT/Smart System Governance, Risk and Compliance for the respective agency•    Lead in the preparation, analysis and packaging of the agencies’ performance and risk assessment reports for their leadership and senior management•    Plan, develop and eventually operate on the technology infrastructure and data analytics platform to enable the ICT/Smart System Governance, Risk and Compliance framework•    Plan and facilitate interactions with agencies, including senior stakeholder engagement, briefings and follow-up with agencies. How to Succeed:•    Specialised skillso    ICT Governance, Risk and Compliance consulting and management experienceo    Proficient in the use of data visualisation and analytics tools such as Tableau, SAS, MS excelo    Good knowledge in the application of industry ICT governance good practices such as COBI, ITILo    Min 10 years ICT experience, preferably with at least 5 years in ICT governance, risk and compliance role with consulting/professional services firms, banks or MNCs. •    General Skillso    Excellent oral and written communications skillso    Excellent organisational skillso    Analytical thinker who can sense-make from disparate datasets to draw insights and patternso    Ability to influence others and strong interpersonal skills ","https://careers.pageuppeople.com/688/cwlive/en/job/543722/sgunitedjobs-senior-manager"
"1257","#SGUnitedJobs BU Finance Manager","#SGUnitedJobs BU Finance Manager","Government Technology Agency","Accounting, Audit, Finance",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. What to Expect: Co-ordinate with divisions to ensure month/year-end close activities are being performed timely Ensure timely reporting of divisional monthly financial reports Provide analytical review of monthly financial performance, highlighting key variances and investigate exceptions Co-ordinate the preparation of divisional forecasts and annual budgets for review and approval Track operating expenses/capital expenditure utilisation, engage parties concerned and highlight area of improvements as appropriate Prepare materials for presentation and discussion Ensure compliance of company policies and procedures Develop appropriate pricing model and analysis for Products and Services, prepare pricing papers to be submitted for approval and carry out regular price reviews for existing Products and Services Perform all other duties as assigned and required as well as to be involved in any other ad-hoc projects How to Succeed: Degree in Accountancy/ACCA with at least 5 years of relevant experience Conversant with SAP and proficient in Microsoft Office in particular Microsoft Excel and PowerPoint Possess positive attitude, meticulous and analytical Good communication and interpersonal skills ","https://careers.pageuppeople.com/688/cwlive/en/job/543723/sgunitedjobs-bu-finance-manager"
"1258","#SGUnitedJobs Assistant Manager / Manager, Digital Marketing","#SGUnitedJobs Assistant Manager / Manager, Digital Marketing","Government Technology Agency","Marketing/Business Development",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. The Assistant Manager / Manager, Communications & Marketing Group (CMG) will work on digital marketing campaigns that promote Government Technology Agency’s (GovTech) brand, products, and services. The core duties will include managing GovTech’s Customer Relationship Management (CRM) system, planning campaigns, analysing metrics, and identifying trends. GovTech CMG’s goal is to promote awareness and understanding, drive adoption, usage and satisfaction with regards to Smart Nation and digital government services among public service officers, citizens and businesses. The team also strives for GovTech to be recognised as a key thought leader in applied technology in Singapore and internationally. Responsibilities: Key responsibilities include: <U+25CF>    Working with the team to develop leads, build and maintain the CRM system. <U+25CF>    Working with the team to develop and execute a CRM strategy.<U+25CF>    Tracking, analysing and reporting of CRM campaign performance, conducting A/B tests for iterative optimisation and improvement across communication channels.<U+25CF>    Working with line managers to align business targets and marketing strategies to acquire the right leads/target audience segments. <U+25CF>    Building strong partnership and communication with internal key stakeholders to drive a synergistic approach on external communications to engage customers, foster customer loyalty and strengthen brand positioning.<U+25CF>    Leading research initiatives to uncover insights on our audience's needs and behaviour across their entire life-cycle journey with GovTech. <U+25CF>    Driving analysis to assist line managers in tracking KPIs, deep-diving into challenges and quantifying opportunities, data-driven recommendations to measure the impact and efficiency of CRM & digital marketing campaigns.<U+25CF>    Preparing regular internal reports and brown bag sessions to provide insight into the performance of day to day marketing and communications activities.  Requirements: <U+25CF>    Two to three years of experience in managing CRM system and digital campaigns.<U+25CF>    Strong understanding of the marketing technology stack & cross channel integration.<U+25CF>    Advanced knowledge of email marketing and CRM to drive strategy and day-to-day operations. <U+25CF>    Proactive self-starter who can work independently and as part of a multi-disciplinary team.<U+25CF>    Show the ability to conceptualise and optimise content for digital platforms that are aligned with the objectives of public and marketing communications campaigns.<U+25CF>    Track record of innovation and delivering results against tight deadlines.<U+25CF>    Good communication skills, including written, verbal and presentations.<U+25CF>    Strong planning, prioritisation, budgetary and project management competencies.<U+25CF>    Creative thinker and innovator; in touch with digital, culture, trends, etc.<U+25CF>    Basic technical knowledge of Markdown, HTML and web publishing is a plus.<U+25CF>    Working knowledge of Hubspot, Mailchimp and other CRM platforms. ","https://careers.pageuppeople.com/688/cwlive/en/job/543724/sgunitedjobs-assistant-manager-manager-digital-marketing"
"1259","#SGUnitedJobs Senior Manager/Manager, Audit and Compliance","#SGUnitedJobs Senior Manager/Manager, Audit and Compliance","Government Technology Agency","Accounting, Audit, Finance",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. GovTech is tasked with harnessing info-communications technology and related engineering for public sector transformation. The Governance Group within GovTech designs and implements progressive policies that continuously raise the technology standards and respond to the ever-changing nature of security threats. The group has also put in place an effective compliance framework and works with all government agencies to achieve this. If you are someone with strong IT audit and compliance background and passionate about technology, looking for opportunities to work with a team of practitioners and leading industry experts, we welcome you to join the Governance Group. As a Senior Manager/Manager, Audit and Compliance, you will join a team of audit professionals responsible for the whole-of-government (WOG) IT audit and compliance management, covering over 100 government agencies. What to expect: Develop and customise audit programmes / security audit checklists to assess the design and operating effectiveness of internal controls in mitigating IT risks.  Plan, develop and conduct annual policy compliance and process audits, technical audits on critical systems and infrastructure. Manage agency interactions, including briefings, conduct of audit fieldwork, management responses and follow-up actions to ensure on-time and on-target execution of audit plans. Review audit findings and assess agencies’ and Whole-of-Government overall state of ICT governance and risks. Formulate mitigation plans to improve state of overall ICT governance. Work with multiple agencies at the working and management levels to assess current situation and identify recommendations to address the gaps. Monitor and validate audit findings to ensure control remediation is effective and root causes have been addressed.  Plan, source and actively manage outsourced augmentation of internal capability, to deliver the committed deliverables. How to succeed: Degree in IT discipline, or equivalent. Possess professional certifications such as Certified Information Systems Auditor (CISA) and cloud security certification. Minimum 8 years ICT experience, preferably with at least 4 years in ICT audit and/or compliance management.  Audit experience and knowledge related to cyber security, cloud application development and commercial public cloud platforms would be a plus. Prior experience leading audits and conducting audit fieldwork and has good working knowledge and understanding of regulatory compliance, governance and internal controls. Strong understanding of technology, IT management processes, technology risks and internal controls.  Prior experience in application development and cloud application development preferred. Able to deliver quality and thorough work, with eye for details. Good written and verbal communication and presentation skills. ","https://careers.pageuppeople.com/688/cwlive/en/job/543725/sgunitedjobs-senior-managermanager-audit-and-compliance"
"1260","#SGUnitedJobs Assistant Director, Talent Management","#SGUnitedJobs Assistant Director, Talent Management","Government Technology Agency","Human Resources",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. Reporting to Deputy Director, People and Capability Building, you will serve as a strategic partner to senior management to develop talent management policies and frameworks while being responsible for the talent cycle in GovTech.. You will conceive, design and implement progressive talent management, development and engagement programmes with the objective of attracting, developing and retaining the high performers. Responsibilities: Key areas of responsibilities include succession planning, annual talent cycle, talent management & development, talent career growth, advising on high potentials, and shaping the talent approach.  • Develop and implement progressive and future focused talent management strategy, policies and processes.• Strong talent and organizational development skills to achieve business goals and results in grooming and retaining internal bench of talent.• Provide direction for leadership and development programmes and initiatives and complement with WOG talent programmes.• Enhance tools and processes used to support GovTech’s Talent Review initiatives– which include the accurate identification of high potential talent, critical positions, HIPOs, retention risk assessment, talent engagement and development plans, rotation and succession plans for critical positions• Analyze and synthesize talent data from various sources into meaningful conclusions that enhance fact-based talent decision-making• Report key talent metrics• Manage post-talent review processes that ensure proper follow through of actions determined at talent review sessions• Engage talent on their career and developmental needs• Manage talent promotion and succession planning process • Play the talent advisory role on career pathing options and/or developmental opportunities Requirements: • Degree holder • Minimum 8 years of experience as a HR generalist, HR/TM business partnering and/or talent management• Minimum 5 years of experience in Talent Management from either a business, Centre of Excellence or consulting perspective• Aware of current and future talent trends• Able to follow through on sound and future-focused strategy with excellent communication and immaculate execution• Comfortable with data and preparation of papers / proposals• Comfortable dealing with senior management• Collaborative and able to work effectively with the HR team and across Govtech• People skills essential, coaching skills a plus• Collaborative leadership qualities• Good understanding of ICT industry is highly advantageous• Prior team management experience would be a plus ","https://careers.pageuppeople.com/688/cwlive/en/job/543726/sgunitedjobs-assistant-director-talent-management"
"1261","#SGUnitedJobs Senior Manager, Technology Masterplanning","#SGUnitedJobs Senior Manager, Technology Masterplanning","Government Technology Agency","InfoComm, Technology, New Media Communications",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. We are seeking a Senior Manager to join our Technology Masterplanning (TMP) team. The Masterplanning team devises masterplans, strategies and roadmaps that guides the digital transformation of the government.  As a Senior Manager, you will be working with a team of highly motivated strategists, policy developers, programme coordinators and technical experts. The team works with diverse group of stakeholders and divisions across GovTech to deliver digitalisation goals. What to expect Masterplanning teams takes on the role of digital leadership by undertaking complex technical programmes such as (1)    Tech Strategic Planning, (2)    Manage and coordinate GovTech’s capability centres, (3)    Develop Singapore Government Technology Stack and (4)    Direct and curate GovTech’s projects and relationships with research institutes. Tasks include co-creation of strategies and plans with various stakeholders. Engaging senior management to align organisation priorities and goals. Coordinate and report on funding, resourcing and progress. Participation in cross-divisional workgroups to address multi-disciplinary challenges. How to succeed •    Background in computing, engineering and relevant technical.•    Experience in planning, policy development and technical project management.•    Excellent stakeholder engagement skills.•    Competent in strategic thinking, and have the ability to influence diverse divisions.•    Demonstrate enthusiasm to learn about new trends and technologies. ","https://careers.pageuppeople.com/688/cwlive/en/job/543727/sgunitedjobs-senior-manager-technology-masterplanning"
"1262","#SGUnitedJobs Manager (Technology Masterplanning)","#SGUnitedJobs Manager (Technology Masterplanning)","Government Technology Agency","InfoComm, Technology, New Media Communications",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. We are seeking a manager to join our Technology Masterplanning (TMP) team. The Masterplanning team devises masterplans, strategies and roadmaps that guides the digital transformation of the government.  As a manager, you will be working with a team of highly motivated strategists, policy developers, programme coordinators and technical experts. The team works with diverse group of stakeholders and divisions across GovTech to deliver digitalisation goals. What to expect: Masterplanning teams takes on the role of digital leadership by undertaking complex technical programmes such as (1)    Tech Strategic Planning, (2)    Manage and coordinate GovTech’s capability centres, (3)    Develop Singapore Government Technology Stack and (4)    Direct and curate GovTech’s projects and relationships with research institutes. Tasks include co-creation of strategies and plans with various stakeholders. Engaging senior management to align organisation priorities and goals. Coordinate and report on funding, resourcing and progress. Participation in cross-divisional workgroups to address multi-disciplinary challenges. How to succeed: •    Background in computing, engineering and relevant technical.•    Experience in planning, policy development and technical project management.•    Excellent stakeholder engagement skills.•    Competent in strategic thinking, and have the ability to influence diverse divisions.•    Demonstrate enthusiasm to learn about new trends and technologies. ","https://careers.pageuppeople.com/688/cwlive/en/job/543729/sgunitedjobs-manager-technology-masterplanning"
"1263","#SGUnitedJobs Senior Manager / Manager, Strategy Planning","#SGUnitedJobs Senior Manager / Manager, Strategy Planning","Government Technology Agency","InfoComm, Technology, New Media Communications",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies. Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. You will be part of a dynamic team responsible for the following: - Supporting senior management in formulating our narrative and strategies, including facilitating and organising senior leadership retreats to discuss new ideas and medium term initiatives, and co-ordinating overall strategic policies and directions to ensure congruence - Identifying trends and emerging issues that impact our strategies and, where necessary, making recommendations on alternative courses of action to our senior management - Formulating plans, initiatives, programmes and measures to support implementation of our strategies, including risk management - Communicating and implementing the approved plans in partnership with other GovTech units   How to Succeed: - Demonstrated leadership, planning, and organisational abilities - Demonstrated analytical abilities to think laterally, and navigate quickly through a broad range of subject matters - Ability to analyse data and synthesize disparate trends to provide meaningful insights  - Critical and creative thinking, plus a good understanding of the policy environment - Excellent analytical skills - Ability to understand the policy environment and enhance it by seeding insights about the future, including looking at policies from a macro level and understanding inter-linkages - Excellent interpersonal and communications skill - Excellent presentation and writing skills - Preferably with working experience in relevant fields such as strategic planning, risk management, research and analysis, or strategy development ","https://careers.pageuppeople.com/688/cwlive/en/job/543730/sgunitedjobs-senior-manager-manager-strategy-planning"
"1264","#SGUnitedJobs Platform Business Analyst","#SGUnitedJobs Platform Business Analyst","Government Technology Agency","InfoComm, Technology, New Media Communications",NA," The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications, and facilitate collaboration with citizens and businesses to co-develop technologies.Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering. Your primary focus will be on transformative concept of operations, business requirements and functional specifications of a Whole Of Government (WOG) Digitalised Governance Platform to level up ICT&SS governance capability consistently across WOG and to achieve economies of scale and cost-efficiency. In this role, you will work in a project team, in collaboration with GovTech and agencies' users to: •    Participate in the service mapping sessions, requirements gathering and contribute to the development of the transformative concept of operations, business requirements and functional/design specifications•    Co-develop the tender specifications•    Actively analyse and validate business requirements•    Evaluate and recommend solutions that best address the needs•    Develop the validation and acceptance criteria with users to ensure acceptance of the new system•    Review system testing, integration testing and data conversion documents to verify that specifications are met•    Drive a smooth deployment, implementation and operations of the system•    Work with awarded tenderer to understand and troubleshoot technical problems, as needed•    Undertake root cause analysis for problems in order to implement preventive and corrective measures to meet business and performance needs Having completed at least 2 large scale application projects (such as at WOG level or for large banking or multinational corporation for at least at regional level), you are: •    Proactive, quality-conscious, results-oriented and thrives under pressure in a fast-paced and dynamic environment•    Able to take a broad, strategic perspective as well as drill deep to understand business needs and challenges•    Able to facilitate discussions/workshops to elicit, manage and prioritise key business needs•    A team player with strong influencing and people handling skills, possess excellent communication, stakeholder engagement and presentation skills. How to succeed:•    Degree in Computer Science, Information Systems, Information/Infocomm Technology, Computer or Electronics Engineering or related discipline•    Minimum 10 years of relevant experience in software development life cycle, preferably in Enterprise Technology Risk, Audit and Compliance management area.•    Proven experience in IT business analysis, application solutioning, design and testing•    Excellent communication skills, both oral and written, with the ability to pitch ideas and influence stakeholders•    Strong analytical, conceptualisation and problem solving skills•    An advantage if applicant has worked in a Government agency before and has knowledge of Instruction Manual (IM) for ICT, undergone audits and understand the government processes in the submissions of agency ICT rolling plans, funding requests, tracking & reporting of agency project portfolio. ","https://careers.pageuppeople.com/688/cwlive/en/job/543731/sgunitedjobs-platform-business-analyst"
"1265","Section Manager, Payroll & Claims","Section Manager, Payroll & Claims","Vital","Accounting, Audit, Finance, Human Resources","30 Sep 2020"," The Section Manager, Payroll and Claims leads a team of Senior Executives and Executives in handling payroll and claims processing for client government agencies. Responsibilities Manage operations, provide competent leadership; and put in place good systems support and procedures to ensure prompt/accurate payment of salaries/allowances Provide advice and make decision on complicated payroll cases, and ensure confidentiality of payroll data is safeguarded Ensure audit observations are promptly investigated and responded within the stipulated timeline Ensure satisfactory response is given to customers' enquiries within the stipulated service standards; Conduct business process streamlining and re-engineering for work efficiency and customers' satisfaction. Carry out any other duties assigned by the Assistant Directors, Deputy Director and Director efficiently and promptly  Requirements At least 2 years of working experience in Payroll with supervisory experience. Good knowledge in Payroll administration and systems. Good leadership and interpersonal skills. Strong communication skills. Independent and able to work effectively in a team. Good analytical, organisational and planning skills. Experience in process improvements preferred. We regret to inform that only shortlisted candidates will be notified. ","https://careers.pageuppeople.com/688/cwlive/en/job/543623/section-manager-payroll-claims"
"1266","#SGUnitedJobs Manager/Assistant Manager/Senior Executive (Financial Security Policy), CSSD","#SGUnitedJobs Manager/Assistant Manager/Senior Executive (Financial Security Policy), CSSD","Ministry of Social and Family Development","Policy Formulation, Social and Community Development","1 Oct 2020"," Description of Division/Branch: The ComCare and Social Support Division (CSSD) oversees policy, operations policy and service development matters for low-income and vulnerable groups.  Our division focuses on individuals or families facing financial difficulty, multiple needs or complex issues, with the aim of supporting them towards achieving stability and resilience.  Brief description of Job Scope: As part of the operations policy team, you will formulate and review operations policies to guide the administration of COVID-19 support schemes, which provides financial assistance to lower- and middle-income families affected by COVID-19. Responsibilities: Work closely with other divisions within MSF to develop and review policy, as well as operations policy and audit framework to guide the implementation of COVID-19 support schemes.  Prepare public and internal communication materials to support the smooth implementation of COVID-19 support schemes. Support the implementation of COVID-19 support schemes Prepare assessment and recommendation for appeals made by applicants for COVID-19 support schemes. Undertake policy research, policy communications or data analysis work on a project basis. Competencies Required: Tertiary Qualifications/work experience related to the social sciences or other relevant fields. At least 1-2 years of relevant work experience in the social service sector or operations policy formulation.   Ability to engage government agencies and partners Strong writing and analytical skills Strong communication and interpersonal skills Ability to work independently in a fast-paced environment ","https://careers.pageuppeople.com/688/cwlive/en/job/543635/sgunitedjobs-managerassistant-managersenior-executive-financial-security-policy-cssd"
"1267","Assistant Manager to Senior Manager, Marketing Capability","Assistant Manager to Senior Manager, Marketing Capability","Singapore Tourism Board","Marketing/Business Development","9 Oct 2020"," Purpose of job: Marketing Capability is a department within the larger Marketing Group at the Singapore Tourism Board (STB). You will be part of a team tasked to drive marketing learning and development (L&D) initiatives for both STB staff and the Singapore travel and tourism trade, so as to ensure that marketing capabilities and competencies are continually leveled up. Specifically, you would contribute to the development and implementation of the STB Marketing College, an in-house marketing L&D programme.   Main Responsibilities: Identify marketing L&D needs for STB marketing officers and industry stakeholders. Design, develop, implement and evaluate the STB Marketing College initiatives through partnership with both internal expertise and external service providers. Collaborate closely with internal HR and Marketing Group as well as external service providers and marketing experts to ensure development and execution of the Marketing College. Stay current on the latest learning technologies, innovative learning solutions, and best practices in marketing L&D. Lead the organisation and project management of key L&D programmes/events/initiatives (e.g. marketing conferences, webinars, etc.) to drive participation and engagement amongst attendees    Requirements: 3-5 years of relevant work experience in leading and managing projects Project management Stakeholder management and relationship building Analytical thinking Strong communication and interpersonal skills Knowledge of marketing and/or learning and development Experience in andragogy, learning design, and/or facilitation ","https://careers.pageuppeople.com/688/cwlive/en/job/543641/assistant-manager-to-senior-manager-marketing-capability"
"1268","Technology Associate Programme (TAP)","Technology Associate Programme (TAP)","Government Technology Agency","InfoComm, Technology, New Media Communications","31 Jan 2021"," Responsibilities: GovTech is committed to the Smart Nation Vision. With the ever increasing potential of utilising technology to solve real world problems, we are seeking young leaders who are innovative problem-solvers and truly believe in the strength of community to collaborate and develop products which empower our citizens, through technology. The Technology Associate Programme (TAP) is an exclusive two-year leadership programme designed for fresh graduates to develop your technical competencies and professional skills, becoming grounded leaders of tomorrow. You will embark on projects within our Capability Centres, supported with specialist training from mentors for a well-rounded experience, and a solid grounding in resilience and responsiveness. Core Domains: Application Development Cyber Security Sensors & Internet of Things Data Science & Artificial Intelligence ICT Infrastructure What can you expect: Being part of an awesome and self-driven team Extensive exposure across exciting tech areas Being at the forefront of the tech industry Strong supervisory support by dedicated mentor Work with the brightest minds in the tech industry A network of bright and talented peers Go ahead and apply if you: Are a Singapore citizen Possess a tertiary qualification in Infocomm/Computer Science/Tech/Engineering or others but with relevant tech skills Able to prove your passion for technology Less than two years of work experience upon graduation Know how to think big, have fun, and get stuff done Applications for the 2021 cohort will close 31 January 2021. ","https://careers.pageuppeople.com/688/cwlive/en/job/543706/technology-associate-programme-tap"
"1269","Assessment Officer, Tamil Language","Assessment Officer, Tamil Language","Singapore Examinations and Assessment Board","Education","27 Sep 2020","NA","https://careers.pageuppeople.com/688/cwlive/en/job/497369/assessment-officer-tamil-language"
"1270","Assessment Officer, Biology","Assessment Officer, Biology","Singapore Examinations and Assessment Board","Education","27 Sep 2020","NA","https://careers.pageuppeople.com/688/cwlive/en/job/514893/assessment-officer-biology"
"1271","Technology Research Analyst","Technology Research Analyst","Info-communications Media Development Authority","InfoComm, Technology, New Media Communications, Engineering, Others, Research and Analysis","30 Sep 2020"," Technology Research Analyst   Responsibilities Perform market research and industry analysis to study effects of emerging technologies on target industry sectors (including but not limited to Retail, Wholesale, Food Services, Logistics, Cleaning and/or Security) Coordinate with analysts and key stakeholders to gather market data for developing supply and demand estimates and gap analysis Become familiar with emerging technology subject matter such as artificial intelligence, internet of things, immersive media, cyber security, future communications and blockchain Conduct desktop research, focus group studies, surveys and interviews to understand the needs and pain points of target industry sectors Conduct secondary research for published reports using industry sources, competitive assessments and third-party data analysis Identify global and local trends pertaining to landscape of emerging technologies, market sizing and investments by technologies, consumer behaviour and preferences, etc. Identify challenges and opportunities for target industry sectors over different time horizons, and impact of emerging technologies on economy, policy and society Analyse data and format it into informative graphics for reports and presentations Prepare periodic research reports, spreadsheets and presentation materials with key facts and figures of each industry sector, and present findings Collaborate with analysts and key stakeholders to develop technology roadmap for target industry sectors supported with rich market research data   Requirements Background in Computer Science, Engineering, Technology, Economics or equivalent At least 3 - 7 years of relevant experience in Analytics, M&A or Consulting roles. Candidates with the right capabilities may apply Strong business acumen with exceptional analytical and quantitative abilities Ability to think critically and develop thoughtful opinions by filtering noise from data, identifying patterns, asking insightful questions and paying attention to details Excellent interpersonal and communication (writing and presentation) skills Experience in analytics and visualization tools such as Excel, VB, R, Tableau, Qilk Sense will be beneficial Proficient in business analysis tools such as SWOT and Porter’s five forces Good time management skills and willingness to work in a demanding and result-oriented team environment Experience in technology roadmap development process will be an advantage Experience in the public sector will be beneficial   Position will commensurate with experience. Only short-listed candidates will be notified. ","https://careers.pageuppeople.com/688/cwlive/en/job/530568/technology-research-analyst"
"1272","Research Executive (Aquaculture Innovation Center)","Research Executive (Aquaculture Innovation Center)","Temasek Polytechnic","Research and Analysis, Sciences (e.g. life sciences, bio-technology etc.)","30 Sep 2020"," Responsibilities Primarily responsible for carrying out project work in aquaculture nutrition or health for finfish and crustaceans or areas as assigned by AIC senior management Support facility rules and perform good laboratory practices with responsible housekeeping practices Provide responsible animal care and husbandry for the project(s) Perform facility and equipment maintenance as well as assist in risk assessment for projects Support project team and perform consumable/equipment purchases following proper financial protocols and plan project logistics or requirements needed for smooth conduct of the project Execute project with proper planning to achieve deliverables within timeline Provide project progress updates regularly; analyse and interpret project data, presentation of the project may be required Submit detailed project report upon each project completion Good in record keeping and document management for traceability Support skill-based teaching of students in projects in consultation with AIC management team Regularly update SOPs for the project tasks assigned Provide logistics support for Centre’s CET workshops or programmes Undertake projects for staff competencies and capabilities development Maintain professionalism, good work ethics and confidentiality of AIC’s projects Handle centre-related  tasks as assigned by Centre Senior Management Prerequisites At least 3 years of formal qualification in aquaculture with research experience Good statistical and relevant analytical tools for data analysis, interpretation and report writing Resourceful and able to work independently to execute the tasks and achieve deliverables on time Good communication and project management skills with prompt project completion. ","https://careers.pageuppeople.com/688/cwlive/en/job/533639/research-executive-aquaculture-innovation-center"
"1273","Assistant Manager/Manager, Ops Strategy, Joint Operations Division - Contract","Assistant Manager/Manager, Ops Strategy, Joint Operations Division - Contract","Ministry of Manpower","Administration Support, Policy Formulation, Public Relations/Corporate Communications/Psychology, Research and Analysis, Enforcement, Statistics","30 Sep 2020"," The incumbent will be part of the team to harmonise and refine MOM’s enforcement strategy and frameworks, to ensure that the strategic focus across different enforcement functions are aligned to MOM’s strategic outcomes. He/she is responsible for the smooth management of major incidents and cases of interest; coordinating efforts to detect, prevent and deter employment malpractices, and strengthening MOM’s enforcement framework through reviews of enforcement policies and processes. Responsibilities * Manage and coordinate major incidents and high profile cases. * Identify and address lapses through regular sample audit of cases, and facilitate cross-departmental sharing of learning points. * Conduct proactive and systematic reviews of inter-departmental operations, policies and processes in order to improve regulatory efficiency. Requirements * Possess tertiary qualification in any discipline * Experience in Operations (Case Management) * Strong analytical and interpersonal skills * Problem solver * Independent and have good initiative * Good writing and presentation skills ","https://careers.pageuppeople.com/688/cwlive/en/job/543564/assistant-managermanager-ops-strategy-joint-operations-division-contract"
"1274","Senior Assistant Director (COVID OPS), Industry Division (1 year contract)","Senior Assistant Director (COVID OPS), Industry Division (1 year contract)","Ministry of Trade and Industry","Administration Support, Economics/Statistics, Policy Formulation","30 Sep 2020"," You will be in charge of leading a team to resolve business concerns in relation to COVID measures, as well as ensure  Job Responsibilities: Develops, coordinates, and enforces systems, policies, procedures Maintains quality service by the team and recommends system improvements Contributes to team effort by accomplishing related results as needed   Requirements At least four years’ experience in managing a team Strong interpersonal skills   We regret to inform that only shortlisted applicants will be notified. ","https://careers.pageuppeople.com/688/cwlive/en/job/543588/senior-assistant-director-covid-ops-industry-division-1-year-contract"
"1275","Manager (Quality and Certification Department, Construction Productivity and Quality Group)","Manager (Quality and Certification Department, Construction Productivity and Quality Group)","Building and Construction Authority","Engineering, Policy Formulation","9 Oct 2020"," Work location: 200 Braddell Road Singapore 579700   Responsibilities   You will play a major role in formulating, promoting and implementing policies to raise quality in the construction industry. You will provide operational support for implementation and execution of CONQUAS, Quality Mark and Certification Schemes (Green and Gracious Builders scheme and Integrated Construction Quality Assurance scheme).   Requirements   • A degree in Civil / Structural Engineering or Architecture with at least 3 years of industry experience • Strong analytical, good communication, writing and inter-personal skills • Self-motivated and able to work well independently and as a member of a team  Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience.  Interested applicants, please apply online. ","https://careers.pageuppeople.com/688/cwlive/en/job/543600/manager-quality-and-certification-department-construction-productivity-and-quality-group"
